producer_cpu,consumer_cpu,producer_socket,consumer_socket,producer_core,consumer_core,producer_smt,consumer_smt,width,round,pinned,throughput_mps,effective_transfers,calibration_millis
0,1,0,0,0,1,0,0,0,0,1,164.600994391,18249000,3.9495
0,1,0,0,0,1,0,0,0,1,1,154.221778727,18249000,3.9495
0,1,0,0,0,1,0,0,0,2,1,165.824741195,18249000,3.9495
0,1,0,0,0,1,0,0,0,3,1,166.800929731,18249000,3.9495
0,1,0,0,0,1,0,0,0,4,1,162.708048239,18249000,3.9495
0,1,0,0,0,1,0,0,1,0,1,173.03067069,16068360,4.485538
0,1,0,0,0,1,0,0,1,1,1,170.529855741,16068360,4.485538
0,1,0,0,0,1,0,0,1,2,1,169.633747956,16068360,4.485538
0,1,0,0,0,1,0,0,1,3,1,172.081826995,16068360,4.485538
0,1,0,0,0,1,0,0,1,4,1,166.065234539,16068360,4.485538
0,1,0,0,0,1,0,0,2,0,1,165.795415868,16293480,4.423375
0,1,0,0,0,1,0,0,2,1,1,166.11554897,16293480,4.423375
0,1,0,0,0,1,0,0,2,2,1,167.691073914,16293480,4.423375
0,1,0,0,0,1,0,0,2,3,1,165.523397236,16293480,4.423375
0,1,0,0,0,1,0,0,2,4,1,168.532166141,16293480,4.423375
0,1,0,0,0,1,0,0,3,0,1,146.970716809,15132600,4.762906
0,1,0,0,0,1,0,0,3,1,1,151.288430544,15132600,4.762906
0,1,0,0,0,1,0,0,3,2,1,148.878628883,15132600,4.762906
0,1,0,0,0,1,0,0,3,3,1,150.147072215,15132600,4.762906
0,1,0,0,0,1,0,0,3,4,1,149.524936257,15132600,4.762906
0,1,0,0,0,1,0,0,4,0,1,223.684080246,21823200,3.302596
0,1,0,0,0,1,0,0,4,1,1,228.312102619,21823200,3.302596
0,1,0,0,0,1,0,0,4,2,1,219.57337374,21823200,3.302596
0,1,0,0,0,1,0,0,4,3,1,223.524661643,21823200,3.302596
0,1,0,0,0,1,0,0,4,4,1,220.574646115,21823200,3.302596
0,1,0,0,0,1,0,0,5,0,1,216.265601486,22324680,3.228382
0,1,0,0,0,1,0,0,5,1,1,225.231958445,22324680,3.228382
0,1,0,0,0,1,0,0,5,2,1,233.087943112,22324680,3.228382
0,1,0,0,0,1,0,0,5,3,1,218.421012698,22324680,3.228382
0,1,0,0,0,1,0,0,5,4,1,214.079888472,22324680,3.228382
0,1,0,0,0,1,0,0,6,0,1,233.548296824,23057160,3.125837
0,1,0,0,0,1,0,0,6,1,1,238.449055455,23057160,3.125837
0,1,0,0,0,1,0,0,6,2,1,232.934320362,23057160,3.125837
0,1,0,0,0,1,0,0,6,3,1,249.876260253,23057160,3.125837
0,1,0,0,0,1,0,0,6,4,1,234.137573783,23057160,3.125837
0,1,0,0,0,1,0,0,7,0,1,236.337100056,22724520,3.171557
0,1,0,0,0,1,0,0,7,1,1,225.784110381,22724520,3.171557
0,1,0,0,0,1,0,0,7,2,1,227.93540436,22724520,3.171557
