producer_cpu,consumer_cpu,producer_socket,consumer_socket,producer_core,consumer_core,producer_smt,consumer_smt,width,round,pinned,throughput_mps,effective_transfers,calibration_millis
0,1,0,0,0,1,0,0,0,0,1,341.805269923,28840560,2.499005
0,1,0,0,0,1,0,0,0,1,1,286.879795383,28840560,2.499005
0,1,0,0,0,1,0,0,0,2,1,334.291539867,28840560,2.499005
0,1,0,0,0,1,0,0,0,3,1,317.728362992,28840560,2.499005
0,1,0,0,0,1,0,0,0,4,1,317.157891153,28840560,2.499005
0,2,0,0,0,2,0,0,0,0,1,337.859696517,25670400,2.807634
0,2,0,0,0,2,0,0,0,1,1,319.639097097,25670400,2.807634
0,2,0,0,0,2,0,0,0,2,1,294.184294042,25670400,2.807634
0,2,0,0,0,2,0,0,0,3,1,328.006171889,25670400,2.807634
0,2,0,0,0,2,0,0,0,4,1,258.329741395,25670400,2.807634
0,3,0,0,0,3,0,0,0,0,1,93.2281683646,33964560,2.121992
0,3,0,0,0,3,0,0,0,1,1,80.5067386613,33964560,2.121992
0,3,0,0,0,3,0,0,0,2,1,74.8086618967,33964560,2.121992
0,3,0,0,0,3,0,0,0,3,1,68.129937214,33964560,2.121992
0,3,0,0,0,3,0,0,0,4,1,57.9543005011,33964560,2.121992
0,4,0,0,0,4,0,0,0,0,1,278.496313887,26531400,2.716563
0,4,0,0,0,4,0,0,0,1,1,273.888303404,26531400,2.716563
0,4,0,0,0,4,0,0,0,2,1,273.457442311,26531400,2.716563
0,4,0,0,0,4,0,0,0,3,1,275.134325457,26531400,2.716563
0,4,0,0,0,4,0,0,0,4,1,272.148785419,26531400,2.716563
0,5,0,0,0,5,0,0,0,0,1,298.067135649,28347480,2.542463
0,5,0,0,0,5,0,0,0,1,1,310.808308299,28347480,2.542463
0,5,0,0,0,5,0,0,0,2,1,290.813830165,28347480,2.542463
0,5,0,0,0,5,0,0,0,3,1,327.624902871,28347480,2.542463
0,5,0,0,0,5,0,0,0,4,1,345.707004403,28347480,2.542463
0,6,0,0,0,6,0,0,0,0,1,341.982559472,32058600,2.248169
0,6,0,0,0,6,0,0,0,1,1,342.206259538,32058600,2.248169
0,6,0,0,0,6,0,0,0,2,1,294.670715407,32058600,2.248169
0,6,0,0,0,6,0,0,0,3,1,309.109270454,32058600,2.248169
0,6,0,0,0,6,0,0,0,4,1,330.166347768,32058600,2.248169
0,7,0,0,0,7,0,0,0,0,1,338.782804857,32811240,2.196595
0,7,0,0,0,7,0,0,0,1,1,332.889727105,32811240,2.196595
0,7,0,0,0,7,0,0,0,2,1,335.120387271,32811240,2.196595
0,7,0,0,0,7,0,0,0,3,1,339.896830449,32811240,2.196595
0,7,0,0,0,7,0,0,0,4,1,294.959720821,32811240,2.196595
0,8,0,1,0,0,0,0,0,0,1,140.975991306,17357760,4.152212
0,8,0,1,0,0,0,0,0,1,1,105.014709886,17357760,4.152212
0,8,0,1,0,0,0,0,0,2,1,81.7263787866,17357760,4.152212
0,8,0,1,0,0,0,0,0,3,1,153.900380586,17357760,4.152212
0,8,0,1,0,0,0,0,0,4,1,96.001283309,17357760,4.152212
0,9,0,1,0,1,0,0,0,0,1,85.9939153322,12968760,5.557461
0,9,0,1,0,1,0,0,0,1,1,105.695086908,12968760,5.557461
0,9,0,1,0,1,0,0,0,2,1,124.959048392,12968760,5.557461
0,9,0,1,0,1,0,0,0,3,1,79.2734158988,12968760,5.557461
0,9,0,1,0,1,0,0,0,4,1,97.544037277,12968760,5.557461
0,10,0,1,0,2,0,0,0,0,1,116.68827357,11145120,6.466757
0,10,0,1,0,2,0,0,0,1,1,105.188625809,11145120,6.466757
0,10,0,1,0,2,0,0,0,2,1,120.55708521,11145120,6.466757
0,10,0,1,0,2,0,0,0,3,1,76.6159385477,11145120,6.466757
0,10,0,1,0,2,0,0,0,4,1,96.53945678,11145120,6.466757
0,11,0,1,0,3,0,0,0,0,1,93.8780720262,6293280,11.452853
0,11,0,1,0,3,0,0,0,1,1,155.347325293,6293280,11.452853
0,11,0,1,0,3,0,0,0,2,1,76.8227110692,6293280,11.452853
0,11,0,1,0,3,0,0,0,3,1,72.5252039512,6293280,11.452853
0,11,0,1,0,3,0,0,0,4,1,59.7036799035,6293280,11.452853
0,12,0,1,0,4,0,0,0,0,1,164.336345148,16145640,4.463936
0,12,0,1,0,4,0,0,0,1,1,76.4881468869,16145640,4.463936
0,12,0,1,0,4,0,0,0,2,1,100.447741513,16145640,4.463936
0,12,0,1,0,4,0,0,0,3,1,107.599104627,16145640,4.463936
0,12,0,1,0,4,0,0,0,4,1,102.802064347,16145640,4.463936
0,13,0,1,0,5,0,0,0,0,1,98.4264401009,13525680,5.32882
0,13,0,1,0,5,0,0,0,1,1,105.008256145,13525680,5.32882
0,13,0,1,0,5,0,0,0,2,1,92.2201692382,13525680,5.32882
0,13,0,1,0,5,0,0,0,3,1,82.8520940646,13525680,5.32882
0,13,0,1,0,5,0,0,0,4,1,111.236558807,13525680,5.32882
0,14,0,1,0,6,0,0,0,0,1,149.419069509,11319000,6.367776
0,14,0,1,0,6,0,0,0,1,1,108.026528544,11319000,6.367776
0,14,0,1,0,6,0,0,0,2,1,69.8244345128,11319000,6.367776
0,14,0,1,0,6,0,0,0,3,1,125.75083324,11319000,6.367776
0,14,0,1,0,6,0,0,0,4,1,117.414006455,11319000,6.367776
0,15,0,1,0,7,0,0,0,0,1,103.063208614,17242680,4.180045
0,15,0,1,0,7,0,0,0,1,1,57.539744348,17242680,4.180045
0,15,0,1,0,7,0,0,0,2,1,82.4911943812,17242680,4.180045
0,15,0,1,0,7,0,0,0,3,1,66.8802774116,17242680,4.180045
0,15,0,1,0,7,0,0,0,4,1,65.6868314061,17242680,4.180045
0,16,0,0,0,0,0,0,0,0,1,273.395683233,27337800,2.636361
0,16,0,0,0,0,0,0,0,1,1,277.554723977,27337800,2.636361
0,16,0,0,0,0,0,0,0,2,1,272.946079206,27337800,2.636361
0,16,0,0,0,0,0,0,0,3,1,276.826917357,27337800,2.636361
0,16,0,0,0,0,0,0,0,4,1,276.5379186,27337800,2.636361
0,17,0,0,0,1,0,0,0,0,1,301.256434148,33718440,2.137511
0,17,0,0,0,1,0,0,0,1,1,335.836493367,33718440,2.137511
0,17,0,0,0,1,0,0,0,2,1,329.894416282,33718440,2.137511
0,17,0,0,0,1,0,0,0,3,1,358.307528135,33718440,2.137511
0,17,0,0,0,1,0,0,0,4,1,345.77218115,33718440,2.137511
0,18,0,0,0,2,0,0,0,0,1,302.942722978,33748680,2.135573
