producer_cpu,consumer_cpu,producer_socket,consumer_socket,producer_core,consumer_core,producer_smt,consumer_smt,width,round,pinned,throughput_mps,effective_transfers,calibration_millis
16,17,0,0,0,1,0,0,0,0,1,383.796161551,180354720,1.998065
16,17,0,0,0,1,0,0,0,1,1,347.240218332,180354720,1.998065
16,17,0,0,0,1,0,0,0,2,1,382.490453746,180354720,1.998065
16,17,0,0,0,1,0,0,0,3,1,344.756883283,180354720,1.998065
16,17,0,0,0,1,0,0,0,4,1,382.320994433,180354720,1.998065
16,17,0,0,0,1,0,0,0,5,1,352.58147102,180354720,1.998065
16,17,0,0,0,1,0,0,0,6,1,388.721085706,180354720,1.998065
16,17,0,0,0,1,0,0,0,7,1,348.314001472,180354720,1.998065
16,17,0,0,0,1,0,0,0,8,1,386.845367576,180354720,1.998065
16,17,0,0,0,1,0,0,0,9,1,351.20749044,180354720,1.998065
16,17,0,0,0,1,0,0,0,10,1,389.863491968,180354720,1.998065
16,17,0,0,0,1,0,0,0,11,1,350.207544336,180354720,1.998065
16,17,0,0,0,1,0,0,0,12,1,390.736416069,180354720,1.998065
16,17,0,0,0,1,0,0,0,13,1,383.86453328,180354720,1.998065
16,17,0,0,0,1,0,0,0,14,1,349.644268126,180354720,1.998065
16,17,0,0,0,1,0,0,0,15,1,382.102397199,180354720,1.998065
16,17,0,0,0,1,0,0,0,16,1,349.886933315,180354720,1.998065
16,17,0,0,0,1,0,0,0,17,1,383.306036927,180354720,1.998065
16,17,0,0,0,1,0,0,0,18,1,344.539626165,180354720,1.998065
16,17,0,0,0,1,0,0,0,19,1,384.316196087,180354720,1.998065
16,17,0,0,0,1,0,0,0,20,1,351.577664405,180354720,1.998065
16,17,0,0,0,1,0,0,0,21,1,390.50364337,180354720,1.998065
16,17,0,0,0,1,0,0,0,22,1,345.497489572,180354720,1.998065
16,17,0,0,0,1,0,0,0,23,1,382.837303692,180354720,1.998065
16,17,0,0,0,1,0,0,0,24,1,344.964166716,180354720,1.998065
16,17,0,0,0,1,0,0,0,25,1,391.042931949,180354720,1.998065
16,17,0,0,0,1,0,0,0,26,1,348.80435125,180354720,1.998065
16,17,0,0,0,1,0,0,0,27,1,385.505435667,180354720,1.998065
16,17,0,0,0,1,0,0,0,28,1,352.408232894,180354720,1.998065
16,17,0,0,0,1,0,0,0,29,1,388.550343445,180354720,1.998065
16,17,0,0,0,1,0,0,0,30,1,347.595706513,180354720,1.998065
16,17,0,0,0,1,0,0,0,31,1,386.263403064,180354720,1.998065
16,17,0,0,0,1,0,0,0,32,1,346.086935427,180354720,1.998065
16,17,0,0,0,1,0,0,0,33,1,390.506246736,180354720,1.998065
16,17,0,0,0,1,0,0,0,34,1,347.826677937,180354720,1.998065
16,17,0,0,0,1,0,0,0,35,1,390.301757862,180354720,1.998065
16,17,0,0,0,1,0,0,0,36,1,345.865082883,180354720,1.998065
16,17,0,0,0,1,0,0,0,37,1,386.312503604,180354720,1.998065
16,17,0,0,0,1,0,0,0,38,1,343.554812375,180354720,1.998065
16,17,0,0,0,1,0,0,0,39,1,386.002619052,180354720,1.998065
16,17,0,0,0,1,0,0,0,40,1,352.305320589,180354720,1.998065
16,17,0,0,0,1,0,0,0,41,1,382.924327704,180354720,1.998065
16,17,0,0,0,1,0,0,0,42,1,346.421132048,180354720,1.998065
16,17,0,0,0,1,0,0,0,43,1,386.149965074,180354720,1.998065
16,17,0,0,0,1,0,0,0,44,1,350.081465232,180354720,1.998065
16,17,0,0,0,1,0,0,0,45,1,382.769883079,180354720,1.998065
16,17,0,0,0,1,0,0,0,46,1,354.354332465,180354720,1.998065
16,17,0,0,0,1,0,0,0,47,1,384.218047953,180354720,1.998065
16,18,0,0,0,2,0,0,0,0,1,351.162109423,166393920,2.165707
16,18,0,0,0,2,0,0,0,1,1,392.065079093,166393920,2.165707
16,18,0,0,0,2,0,0,0,2,1,343.696711766,166393920,2.165707
16,18,0,0,0,2,0,0,0,3,1,388.448248465,166393920,2.165707
16,18,0,0,0,2,0,0,0,4,1,385.997025014,166393920,2.165707
16,18,0,0,0,2,0,0,0,5,1,354.181203562,166393920,2.165707
16,18,0,0,0,2,0,0,0,6,1,386.241137644,166393920,2.165707
16,18,0,0,0,2,0,0,0,7,1,346.400610119,166393920,2.165707
16,18,0,0,0,2,0,0,0,8,1,390.816262036,166393920,2.165707
16,18,0,0,0,2,0,0,0,9,1,338.264361664,166393920,2.165707
16,18,0,0,0,2,0,0,0,10,1,386.487077243,166393920,2.165707
16,18,0,0,0,2,0,0,0,11,1,349.757987006,166393920,2.165707
16,18,0,0,0,2,0,0,0,12,1,392.675015213,166393920,2.165707
16,18,0,0,0,2,0,0,0,13,1,383.228282109,166393920,2.165707
16,18,0,0,0,2,0,0,0,14,1,352.96967612,166393920,2.165707
16,18,0,0,0,2,0,0,0,15,1,380.368551367,166393920,2.165707
